t,T,T_eff,L,rho,R,X
0.1,115344.95382687969,721.8176009750745,2.4457020605183164,1.4097798243075256e-06,100.0,0.98
5.1,115349.44545614421,721.8346349986809,2.4457424201782465,1.4099445495983243e-06,99.99610548026466,0.98
7.6,115351.69098833023,721.8431508380137,2.445762597085022,1.4100269066968562e-06,99.99415857901147,0.98
10.1,115353.93688373489,721.8516679872416,2.4457827769985867,1.4101092803250583e-06,99.99221143866068,0.98
60.1,115398.87040466974,722.0220559857081,2.446186461583547,1.4117579998731057e-06,99.95327102248852,0.98
85.1,115421.30889280805,722.1071326566074,2.446388011401299,1.4125818032391024e-06,99.93383666640726,0.98
110.1,115443.78374531204,722.1923404501252,2.446589862175196,1.4134072629227138e-06,99.91437838770943,0.98
610.0999999999999,115894.84765264376,723.9010101580072,2.4506355278707708,1.430042077437891e-06,99.52545190782453,0.98
860.0999999999999,116117.52457189375,724.7435306916476,2.4526289569390576,1.438302103210984e-06,99.33456443723118,0.98
1110.1,116343.88064635315,725.5992971377456,2.454652760432921,1.4467311466967792e-06,99.14127195817402,0.98
6110.0999999999985,121033.46432592119,743.1788660050282,2.496013270632082,1.6288518271045732e-06,95.29934240509728,0.98
8610.099999999999,123064.02921553167,750.7042964587561,2.5135958633952318,1.712229745796386e-06,93.72664780292706,0.98
11110.099999999999,125507.31907258126,759.6924415043616,2.534500887721803,1.816268159782659e-06,91.9017484063707,0.98
27736.96097027208,143162.15914462117,822.6318122005364,2.6780876919673853,2.6957996917024355e-06,80.56651112223179,0.98
36050.39145540812,147693.4730386751,838.2628262789699,2.713015946159128,2.960019230713452e-06,78.09422501721195,0.98
44363.82194054416,158129.76239286695,873.5316783822472,2.7908061079850737,3.6330323600258877e-06,72.93914613533137,0.98
63867.97167817264,181013.0107086528,947.6621755996671,2.9499242541134967,5.4500036394072345e-06,63.716439544952465,0.98
73620.04654698688,186683.88493445588,965.4219694071743,2.9872038923247177,5.978573513561784e-06,61.78047443293981,0.98
83372.12141580111,200280.2686225139,1007.1147573785557,3.0735046412597438,7.382692115659828e-06,57.585372161752815,0.98
105724.63302945458,229143.61611013187,1091.9018990138725,3.243997564857381,1.1057902515079819e-05,50.32991280718211,0.98
116900.88883628132,236273.4038202571,1112.1462347111283,3.2837596530496076,1.2122889308111291e-05,48.810701624419075,0.98
128077.14464310804,253402.269617673,1159.764232126853,3.3759175106833488,1.495623681851233e-05,45.51029520558368,0.98
153683.85070042795,289686.679405063,1256.379075446148,3.5572833707024407,2.2347980499983727e-05,39.808059006157485,0.98
166487.20372908792,298637.4588847809,1279.413782302184,3.599466150282651,2.448503992015271e-05,38.61447709953478,0.98
179290.5567577479,320134.23753696383,1333.5750700764202,3.6971216539435963,3.016483857008842e-05,36.0205297095657,0.98
208654.4794857279,365653.59571865754,1443.4106065104536,3.888895052862511,4.4956431094940196e-05,31.53453910848664,0.98
223336.44084971794,376868.07413276,1469.561113403356,3.933376381991317,4.922315631579304e-05,30.595715287287263,0.98
238018.40221370794,403787.53776443785,1531.0138294984813,4.03620866793032,6.0548874425130405e-05,28.55497201793515,0.98
271729.74515483476,460773.7633801192,1655.5880940848406,4.23771595754232,8.999280946553495e-05,25.021566382431633,0.98
288585.4166253982,474794.8640990383,1685.2058735131027,4.28432125531272,9.846605770425262e-05,24.282212022161616,0.98
305441.0880959616,508431.50771030167,1754.7624244083906,4.391898696376786,0.00012092700411387008,22.674758266252653,0.98
344191.554444236,579619.366855377,1895.714187232643,4.60223260531948,0.00017921572881632425,19.888028000873035,0.98
363566.7876183732,597111.12822492,1929.1775622763823,4.650733634742025,0.00019594889617450411,19.304985949885456,0.98
382942.02079251036,639046.3484587942,2007.71076374674,4.762501432306384,0.00024024038406401458,18.037171134555827,0.98
427543.7666673254,727776.2352570676,2166.800630868763,4.980515227158741,0.00035497201857718737,15.836251498773857,0.98
449844.6396047329,749548.318594799,2204.514971166101,5.030629584550504,0.00038782572476407336,15.375817871148248,0.98
472145.51254214044,801707.7665761032,2292.957889564874,5.1459091018812675,0.0004746517826086315,14.374477196455583,0.98
523554.0362394063,912047.1038333595,2472.06878921858,5.370217788638591,0.0006991450211538138,12.633625742587544,0.98
549258.2980880393,939083.580030476,2514.466384083155,5.421609719094172,0.0007632633955981102,12.269464789462805,0.98
574962.5599366722,1003804.6335286255,2613.8118749302657,5.539601578505726,0.0009324380190379285,11.477406741769288,0.98
634304.2465761917,1140690.3875846711,2814.9482921636345,5.768589009554413,0.0013690204680949034,10.098273213744953,0.98
663975.0898959516,1174183.3654117647,2862.487835058761,5.820871460526717,0.0014933846840625253,9.809793513632451,0.98
693645.9332157113,1254293.96154322,2973.7873669107476,5.940661532802358,0.001820954387785794,9.182284426607703,0.98
762251.2391090724,1423698.9878773268,3199.072898673994,6.172492446418171,0.002664684388939567,8.087888792413953,0.98
796553.8920557529,1465087.6239635195,3252.238450562067,6.225230114224272,0.002904376903200728,7.858978587945661,0.98
830856.5450024335,1563997.789767589,3376.5999453426543,6.345797692820692,0.0035345988296774104,7.3610040026850605,0.98
910300.036161191,1773123.6737029303,3628.272549884941,6.578433239650912,0.005154748957928662,6.491044559832665,0.98
950021.7817405697,1824139.0345002515,3687.5717864853696,6.631146261781812,0.005613733594552471,6.309086726198083,0.98
989743.5273199484,1945946.354359925,3826.156086916569,6.751373507783124,0.006818356478793549,5.913217622883404,0.98
1081892.2685021735,2203445.081495573,4106.560107015085,6.982588443873909,0.00990914637698585,5.220414841930476,0.98
1127966.639093286,2266161.172060387,4172.52157650726,7.03475632798851,0.010782259179047874,5.075519585740161,0.98
1174041.0096843983,2415771.147825745,4326.536975829925,7.153437937623287,0.01306959428096934,4.760249634159958,0.98
1281113.1559463867,2731997.1856537317,4638.11063993604,7.380837492168104,0.01892692099417372,4.20749660195199,0.98
1334649.229077381,2808888.174468156,4711.279660937402,7.431902861798863,0.02057666937844337,4.091903695109798,0.98
